blockid,miningpool
401136,AntPool
401137,AntPool
401138,AntPool
401139,F2Pool
401140,BitFury
401141,AntPool
401142,AntPool
401143,BTCC
401144,SlushPool
401145,F2Pool
401146,BTCC
401147,AntPool
401148,AntPool
401149,BitFury
401150,F2Pool
401151,BitFury
401152,F2Pool
401153,KanoPool
401154,BTCC
401155,F2Pool
401156,AntPool
401157,F2Pool
401158,F2Pool
401159,F2Pool
401160,BitClub
401161,BitFury
401162,KnCMiner
401163,AntPool
401164,BTCC
401165,F2Pool
401166,AntPool
401167,F2Pool
401168,KanoPool
401169,F2Pool
401170,F2Pool
401171,BTCC
401172,KanoPool
401173,F2Pool
401174,F2Pool
401175,F2Pool
401176,BitFury
401177,BTCC
401178,BTCC
401179,F2Pool
401180,F2Pool
401181,F2Pool
401182,BitFury
401183,F2Pool
401184,BitClub
401185,AntPool
401186,F2Pool
401187,AntPool
401188,KanoPool
401189,F2Pool
401190,F2Pool
401191,BitFury
401192,F2Pool
401193,AntPool
401194,AntPool
401195,BW.COM
401196,AntPool
401197,AntPool
401198,F2Pool
401199,F2Pool
401200,F2Pool
401201,BitFury
401202,BitFury
401203,BTCC
401204,KnCMiner
401205,Solo CK
401206,F2Pool
401207,BitFury
401208,BTCC
401209,F2Pool
401210,BTCC
401211,F2Pool
401212,F2Pool
401213,F2Pool
401214,BW.COM
401215,KnCMiner
401216,AntPool
401217,BTCC
401218,AntPool
401219,F2Pool
401220,BTCC
401221,1Hash
401222,BTCC
401223,BitFury
401224,BW.COM
401225,F2Pool
401226,BitFury
401227,BitClub
401228,F2Pool
401229,BTCC
401230,BitFury
401231,F2Pool
401232,F2Pool
401233,GHash.IO
401234,AntPool
401235,BTCC
401236,BTCC
401237,AntPool
401238,BitClub
401239,AntPool
401240,BitFury
401241,BTCC
401242,1Hash
401243,AntPool
401244,KanoPool
401245,AntPool
401246,AntPool
401247,BitFury
401248,AntPool
401249,BW.COM
401250,AntPool
401251,AntPool
401252,BitFury
401253,BTCC
401254,F2Pool
401255,F2Pool
401256,F2Pool
401257,BitFury
401258,AntPool
401259,Telco 214
401260,F2Pool
401261,AntPool
401262,BitFury
401263,F2Pool
401264,F2Pool
401265,BTCC
401266,AntPool
401267,F2Pool
401268,AntPool
401269,AntPool
401270,BTCC
401271,KnCMiner
401272,BitFury
401273,1Hash
401274,F2Pool
401275,BTCC
401276,F2Pool
401277,AntPool
401278,AntPool
401279,BW.COM
401280,F2Pool
401281,BitMinter
401282,F2Pool
401283,BW.COM
401284,SlushPool
401285,F2Pool
401286,BitFury
401287,AntPool
401288,F2Pool
401289,BTCC
401290,BitFury
401291,Telco 214
401292,F2Pool
401293,BTCC
401294,BitFury
401295,GHash.IO
401296,AntPool
401297,F2Pool
401298,AntPool
401299,F2Pool
401300,AntPool
401301,BW.COM
401302,AntPool
401303,BW.COM
401304,BitClub
401305,F2Pool
401306,BitClub
401307,AntPool
401308,BTCC
401309,AntPool
401310,AntPool
401311,BW.COM
401312,F2Pool
401313,BTCC
401314,F2Pool
401315,F2Pool
401316,AntPool
401317,AntPool
401318,AntPool
401319,BTCC
401320,BTCC
401321,BTCC
401322,BitFury
401323,SlushPool
401324,BW.COM
401325,BitClub
401326,F2Pool
401327,BTCC
401328,KanoPool
401329,BW.COM
401330,BTCC
401331,BTCC
401332,AntPool
401333,AntPool
401334,KnCMiner
401335,BitFury
401336,GHash.IO
401337,AntPool
401338,AntPool
401339,BTCC
401340,F2Pool
401341,F2Pool
401342,BTCC
401343,AntPool
401344,AntPool
401345,BTCC
401346,AntPool
401347,BitClub
401348,AntPool
401349,BTCC
401350,F2Pool
401351,BW.COM
401352,F2Pool
401353,BW.COM
401354,KanoPool
401355,F2Pool
401356,F2Pool
401357,BTCC
401358,BW.COM
401359,F2Pool
401360,BitFury
401361,AntPool
401362,AntPool
401363,AntPool
401364,Eligius
401365,BTCC
401366,BitClub
401367,BitFury
401368,F2Pool
401369,F2Pool
401370,BTCC
401371,F2Pool
401372,SlushPool
401373,BitFury
401374,BTCC
401375,BTCC
401376,BitClub
401377,BitFury
401378,F2Pool
401379,BTCC
401380,KnCMiner
401381,F2Pool
401382,KanoPool
401383,F2Pool
401384,AntPool
401385,BTCC
401386,BitFury
401387,BW.COM
401388,BitFury
401389,F2Pool
401390,AntPool
401391,AntPool
401392,AntPool
401393,F2Pool
401394,BitFury
401395,F2Pool
401396,BTCC
401397,BW.COM
401398,BTCC
401399,AntPool
401400,F2Pool
401401,SlushPool
401402,BTCC
401403,AntPool
401404,AntPool
401405,BTCC
401406,KanoPool
401407,F2Pool
401408,BW.COM
401409,AntPool
401410,KnCMiner
401411,BitClub
401412,BitFury
401413,BTCC
401414,BitFury
401415,F2Pool
401416,AntPool
401417,BW.COM
401418,AntPool
401419,Eligius
401420,AntPool
401421,AntPool
401422,F2Pool
401423,AntPool
401424,Eligius
401425,BitFury
401426,AntPool
401427,1Hash
401428,BTCC
401429,AntPool
401430,AntPool
401431,F2Pool
401432,1Hash
401433,F2Pool
401434,AntPool
401435,AntPool
401436,KanoPool
401437,F2Pool
401438,AntPool
401439,BW.COM
401440,F2Pool
401441,AntPool
401442,KnCMiner
401443,AntPool
