Time,50BTC.com,AntPool,BTC Guild,BTC.TOP,BTCC Pool,BW.COM,BitFury,BitMinter,Eligius,F2Pool,SlushPool,Unknown,ViaBTC,ghash.io,others,,ALL,ANTPOOL,F2POOL,VIABTC,BTCCOM
2016-04-12 00:00:00 UTC,,4.17E+17,,,1.42E+17,1.25E+17,1.25E+17,,,2.42E+17,5.00E+16,,,8.34E+15,1.25E+17,,1.23E+18,4.17E+17,2.42E+17,0.00E+00,0.00E+00
2016-04-13 00:00:00 UTC,,4.06E+17,,,9.11E+16,9.11E+16,1.41E+17,,,2.90E+17,7.45E+16,8.28E+15,,8.28E+15,2.48E+17,,1.36E+18,4.06E+17,2.90E+17,0.00E+00,0.00E+00
2016-04-14 00:00:00 UTC,,3.64E+17,,,1.30E+17,1.39E+17,1.30E+17,,,3.55E+17,7.79E+16,,,8.66E+15,2.16E+17,,1.42E+18,3.64E+17,3.55E+17,0.00E+00,0.00E+00
2016-04-15 00:00:00 UTC,,3.67E+17,,,2.15E+17,3.58E+16,1.07E+17,,,2.50E+17,7.15E+16,8.94E+15,,,1.88E+17,,1.24E+18,3.67E+17,2.50E+17,0.00E+00,0.00E+00
2016-04-16 00:00:00 UTC,,2.88E+17,,,1.62E+17,1.17E+17,1.26E+17,,,3.69E+17,3.60E+16,,,,1.44E+17,,1.24E+18,2.88E+17,3.69E+17,0.00E+00,0.00E+00
2016-04-17 00:00:00 UTC,,3.49E+17,,,2.27E+17,1.31E+17,9.60E+16,,,3.05E+17,7.85E+16,8.73E+15,,,1.83E+17,,1.38E+18,3.49E+17,3.05E+17,0.00E+00,0.00E+00
2016-04-18 00:00:00 UTC,,2.94E+17,,,1.78E+17,4.45E+16,1.25E+17,,,3.03E+17,4.45E+16,,,1.78E+16,1.87E+17,,1.19E+18,2.94E+17,3.03E+17,0.00E+00,0.00E+00
2016-04-19 00:00:00 UTC,,3.28E+17,,,2.04E+17,9.74E+16,1.59E+17,8.85E+15,,3.36E+17,7.08E+16,,,,1.24E+17,,1.33E+18,3.28E+17,3.36E+17,0.00E+00,0.00E+00
2016-04-20 00:00:00 UTC,,3.92E+17,,,1.96E+17,8.91E+16,2.14E+17,8.91E+15,8.91E+15,3.65E+17,7.13E+16,,,,1.25E+17,,1.47E+18,3.92E+17,3.65E+17,0.00E+00,0.00E+00
2016-04-21 00:00:00 UTC,,4.17E+17,,,2.66E+17,9.77E+16,7.10E+16,,,2.93E+17,5.33E+16,,,,1.42E+17,,1.34E+18,4.17E+17,2.93E+17,0.00E+00,0.00E+00
